HWY_NO,HWY_SFX_NO,HWY_LONG_NM,HWY_MED_NM,HWY_TERMNT_DT,LAST_UD_DT,LAST_UD_USER_ID,ALT_HWY_NO
332,,Sunnyside-Umapine Highway,SUNNYSIDE-UMAPINE,,2003-03-27T00:00:00,ISCO866,332
333,,Hermiston Highway,HERMISTON,,2003-03-27T00:00:00,ISCO866,333
334,,Athena-Holdman Highway,ATHENA-HOLDMAN,,2003-03-27T00:00:00,ISCO866,334
335,,Havana-Helix Highway,HAVANA-HELIX,,2003-03-27T00:00:00,ISCO866,335
339,,Freewater Highway,FREEWATER,,2003-03-27T00:00:00,ISCO866,339
340,,Medical Springs Highway,MEDICAL SPRINGS,,2003-03-27T00:00:00,ISCO866,340
341,,Ukiah-Hilgard Highway,UKIAH-HILGARD,,2003-03-27T00:00:00,ISCO866,341
342,,Cove Highway,COVE,,2003-03-27T00:00:00,ISCO866,342
350,,Little Sheep Creek Highway,LITTLE SHEEP CREEK,,2003-03-27T00:00:00,ISCO866,350
351,,Joseph-Wallowa Lake Highway,JOSEPH-WALLOWA LAKE,,2003-03-27T00:00:00,ISCO866,351
360,,Madras-Prineville Highway,MADRAS-PRINEVILLE,,2003-03-27T00:00:00,ISCO866,360
361,,Culver Highway,CULVER,,2003-03-27T00:00:00,ISCO866,361
370,,O'neil Highway,O'NEIL,,2003-03-27T00:00:00,ISCO866,370
371,,Powell Butte Highway,POWELL BUTTE,2005-12-31T00:00:00,2008-08-22T18:18:46.210,Hwye85p,371
372,,Century Drive Highway,CENTURY DRIVE,,2003-03-27T00:00:00,ISCO866,372
380,,Paulina Highway,PAULINA,,2003-03-27T00:00:00,ISCO866,380
390,,Service Creek-Mitchell Highway,SERVICE CREEK-MITCHELL,,2003-03-27T00:00:00,ISCO866,390
402,,Kimberly-Long Creek Highway,KIMBERLY-LONG CREEK,,2003-03-27T00:00:00,ISCO866,402
410,,Sumpter Highway,SUMPTER,,2003-03-27T00:00:00,ISCO866,410
413,,Halfway-Cornucopia Highway,HALFWAY-CORNUCOPIA,,2003-03-27T00:00:00,ISCO866,413
414,,Pine Creek Highway,PINE CREEK,,2003-03-27T00:00:00,ISCO866,414
415,,Dooley Mountain Highway,DOOLEY MOUNTAIN,,2003-03-27T00:00:00,ISCO866,415
420,,Midland Highway,MIDLAND,,2003-03-27T00:00:00,ISCO866,420
422,,Chiloquin Highway,CHILOQUIN,,2003-03-27T00:00:00,ISCO866,422
423,,Lower Klamath Highway,LOWER KLAMATH,1987-12-31T00:00:00,2008-08-22T18:18:46.210,Hwye85p,423
424,,South Klamath Falls Highway,SOUTH KLAMATH FALLS,,2003-03-27T00:00:00,ISCO866,424
425,,East Diamond Lake Highway,EAST DIAMOND LAKE,2003-12-31T00:00:00,2005-06-03T08:05:53.280,isd849,425
426,,Hatfield Highway,HATFIELD,,2003-03-27T00:00:00,ISCO866,426
427,,Modoc Point Highway,MODOC POINT,1987-12-31T00:00:00,2003-03-27T00:00:00,ISCO866,427
